Fsp3,Weta2.unity,Outcome
0.775510204,0.393661598,6.04
0.78,0.3833549,7.15
0.784313725,0.389656595,6.92
0.788461538,0.442748372,8.44
0.79245283,0.425388089,8.18
0.784313725,0.428892221,5.27
0.788461538,0.38497514,5.45
0.79245283,0.466927157,6.44
0.796296296,0.415299223,6.57
0.8,0.423815083,8.23
0.803571429,0.385825851,8.54
0.803571429,0.432822664,7.48
0.8,0.453034511,6.7
0.803571429,0.437207536,7.62
0.8,0.386202153,6.19
0.796296296,0.415105271,5.43
0.79245283,0.420966517,6.68
0.788461538,0.434148987,6.27
0.784313725,0.48658618,5.31
0.78,0.404107383,5
0.8,0.457669534,7.48
0.803571429,0.396481582,7.5
0.775510204,0.371175978,5.61
0.78,0.534637841,6.01
0.784313725,0.372815841,6.06
0.788461538,0.448811553,5.93
0.79245283,0.425765397,6.15
0.784313725,0.382594614,5.15
0.788461538,0.376925198,4.99
0.79245283,0.464292003,5.6
0.796296296,0.415251952,5.74
0.8,0.384956238,6.01
0.803571429,0.378638161,5.74
0.8,0.456495049,5.5
0.803571429,0.423567428,5.66
0.803571429,0.477784409,6
0.803571429,0.409175058,6.16
0.803571429,0.43714427,5.81
0.803571429,0.375243669,5.45
0.803571429,0.416698512,5.84
0.803571429,0.422126512,5.68
0.79245283,0.426696231,5.64
0.79245283,0.407346031,5.54
0.79245283,0.420829,5.31
0.788461538,0.437567813,6.11
0.79245283,0.406918305,6.61
0.8,0.368657188,6.11
0.803571429,0.402498181,6.71
0.803571429,0.404769693,6.58
